rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,entity,algorithm
9,1000,10,2.9611650485436893,0.8455824803695452,0.4370448366427621,-7.393483709273182,-6.451612903225806,0.0254167700985338,0.901445073875488,Astacus astacus,xgboost
9,1000,20,5.970873786407767,0.8368614504362893,0.4326049341563424,-12.030075187969924,-9.118541033434653,0.0285869554119859,0.8861990073157704,Astacus astacus,xgboost
9,1000,50,14.917395529640428,0.830217407486709,0.4266637853477925,-30.701754385964914,-26.853707414829657,0.0432795649552573,0.8189547002897923,Astacus astacus,xgboost
9,2000,10,3.9805825242718447,0.8461203693102565,0.4334951260221718,-3.4461152882205512,-5.7591623036649215,0.0246477309433297,0.9060227184989316,Astacus astacus,xgboost
9,2000,20,8.155339805825243,0.8498947555961427,0.4388095133735423,-11.403508771929824,-8.355795148247978,0.0281661106848173,0.886722152668828,Astacus astacus,xgboost
9,2000,50,19.87366375121477,0.8425611111099698,0.4555560260172024,-28.7593984962406,-22.6,0.0438588663749274,0.8134930962506782,Astacus astacus,xgboost
10,1000,10,2.766990291262136,0.8528119085525052,0.47173369442741,-7.535885167464115,-8.552631578947368,0.0245948079828999,0.9056511469643962,Astacus astacus,xgboost
10,1000,20,5.776699029126213,0.8517700763351005,0.4659006369876619,-12.14114832535885,-13.618157543391188,0.0279039086198046,0.8910070672303605,Astacus astacus,xgboost
10,1000,50,14.1399416909621,0.8518635045583013,0.473620685542066,-31.638755980861244,-30.099009900990097,0.0439394419880355,0.8147177328084441,Astacus astacus,xgboost
10,2000,10,3.3980582524271847,0.8527329032239204,0.4755735769467989,-9.449760765550238,-11.702127659574469,0.0256126435787415,0.9004815442462774,Astacus astacus,xgboost
10,2000,20,8.592233009708737,0.8535756222322406,0.4458342214879442,-11.66267942583732,-9.97340425531915,0.0284485843260756,0.8880282327861989,Astacus astacus,xgboost
10,2000,50,20.602526724975704,0.8417765550336198,0.4442592151990728,-30.86124401913876,-29.38496583143508,0.0441227269766766,0.8152525881351657,Astacus astacus,xgboost
11,1000,10,2.66990291262136,0.8230682015317309,0.4267317805031506,-1.448400724200362,-7.506361323155216,0.0239300561131793,0.9105467365627364,Astacus astacus,xgboost
11,1000,20,5.970873786407767,0.8198180087349354,0.4293448459875493,-8.086904043452021,-14.658925979680696,0.0280755870435919,0.8902884873574175,Astacus astacus,xgboost
11,1000,50,14.528668610301262,0.826998707251633,0.4277461649898598,-29.692214846107422,-26.33663366336634,0.0436390345996428,0.8180661070452757,Astacus astacus,xgboost
11,2000,10,4.757281553398059,0.8167840282002721,0.4238955678359826,-3.56065178032589,-6.005586592178771,0.0249326709022759,0.9058105813307376,Astacus astacus,xgboost
11,2000,20,8.980582524271846,0.8228386159228044,0.4191818854220011,-9.897404948702476,-14.305364511691884,0.0282501410661452,0.8879638269808456,Astacus astacus,xgboost
11,2000,50,19.33916423712342,0.8359122437246245,0.4240961456281666,-30.899215449607727,-28.01724137931034,0.0449380873249668,0.8115510098128281,Astacus astacus,xgboost
12,1000,10,2.6213592233009706,0.8419784279645238,0.444473530285376,-3.1393067364290386,-9.824046920821116,0.0242892767584432,0.9034102233354568,Astacus astacus,xgboost
12,1000,20,5.776699029126213,0.8501191030146207,0.4755130671259617,-10.660562459123607,-11.68639053254438,0.0267439495713448,0.8891611021862219,Astacus astacus,xgboost
12,1000,50,14.1399416909621,0.8402941440164761,0.4504189108231242,-32.24329627207325,-30.040322580645164,0.0439657352833799,0.80857129859917,Astacus astacus,xgboost
12,2000,10,4.077669902912621,0.8426842278798334,0.4423640414242515,-4.839764551994768,-8.674304418985269,0.0247679372661023,0.900542847227012,Astacus astacus,xgboost
12,2000,20,7.233009708737864,0.8448513897580342,0.4513596395768978,-10.26814911706998,-14.783821478382148,0.0278614045749595,0.8858752313214845,Astacus astacus,xgboost
12,2000,50,20.84548104956268,0.8459262138721031,0.4595464553821758,-34.33616742969261,-29.059829059829063,0.0454722105602456,0.799148981929015,Astacus astacus,xgboost
13,1000,10,3.155339805825243,0.839947581140731,0.4504399150993783,-5.840286054827176,-5.449591280653951,0.0242197622573947,0.9052022980897816,Astacus astacus,xgboost
13,1000,20,6.019417475728154,0.8450460737222479,0.4666732251934505,-13.64719904648391,-17.65536723163842,0.0286641459935933,0.8815218637460791,Astacus astacus,xgboost
13,1000,50,15.937803692905732,0.8165190169510811,0.4302808673051944,-27.89034564958284,-27.76735459662289,0.0410669016504339,0.8268705879935868,Astacus astacus,xgboost
13,2000,10,4.0291262135922326,0.8327410203172245,0.4430468076998441,-7.508939213349225,-8.45442536327609,0.0244117117035335,0.9045573245577644,Astacus astacus,xgboost
