axis,level,algorithm,track,metric,delta,ci_lo,ci_hi,n,entities,tier
lowacc,10,maxent,upstream_only,sensitivity,-0.009449416050682726,-0.02349964255871729,0.0045855456652778735,80,8,full_panel
lowacc,10,maxent,upstream_only,specificity,-0.004460441437150584,-0.009783221873294156,0.001092522229035703,80,8,full_panel
lowacc,10,maxent,upstream_only,omission_rate,0.00944941605068273,-0.004424147089579091,0.02429547925225809,80,8,full_panel
lowacc,10,maxent,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,10,maxent,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,10,maxent,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,10,random_forest,combined,auc,-0.023345987044319692,-0.03385753135585963,-0.01288210860798691,240,8,full_panel
lowacc,10,random_forest,combined,tss,-0.0468363599287807,-0.06782728583493661,-0.027647229518980045,240,8,full_panel
lowacc,10,random_forest,combined,brier,0.01183182135137758,0.0066854868901656235,0.017342085963155604,240,8,full_panel
lowacc,10,random_forest,combined,sensitivity,-0.020550466732068354,-0.03712213112928029,-0.0057412320703743545,240,8,full_panel
lowacc,10,random_forest,combined,specificity,-0.026285893196712408,-0.043424277338102245,-0.011519969903659942,240,8,full_panel
lowacc,10,random_forest,combined,omission_rate,0.02055046673206834,0.006244542674060496,0.0372495092897021,240,8,full_panel
lowacc,10,random_forest,combined,importance_spearman,,,,0,8,full_panel
lowacc,10,random_forest,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,10,random_forest,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,10,random_forest,local_only,auc,-0.023266861560181484,-0.03549857984748142,-0.012949729559678888,240,8,full_panel
lowacc,10,random_forest,local_only,tss,-0.047532174545355,-0.06838959732349477,-0.027407872344548,240,8,full_panel
lowacc,10,random_forest,local_only,brier,0.012047532989329073,0.006463298663144817,0.01822082414123236,240,8,full_panel
lowacc,10,random_forest,local_only,sensitivity,-0.02095855213834917,-0.03806201717720548,-0.00665708668000687,240,8,full_panel
lowacc,10,random_forest,local_only,specificity,-0.02657362240700582,-0.04434580510533929,-0.011655156574813677,240,8,full_panel
lowacc,10,random_forest,local_only,omission_rate,0.02095855213834915,0.005914652626205015,0.038563093672464493,240,8,full_panel
lowacc,10,random_forest,local_only,importance_spearman,,,,0,8,full_panel
lowacc,10,random_forest,local_only,env_centroid_disp,,,,0,8,full_panel
lowacc,10,random_forest,local_only,env_dispersion_change,,,,0,8,full_panel
lowacc,10,random_forest,upstream_only,auc,-0.01191748691217243,-0.024198408321846828,-0.0006425221730070608,240,8,full_panel
lowacc,10,random_forest,upstream_only,tss,-0.022730651982136627,-0.04287476167478145,-0.003149731421235218,240,8,full_panel
lowacc,10,random_forest,upstream_only,brier,0.003392256414698591,-0.00037328114208416035,0.007886677445393148,240,8,full_panel
lowacc,10,random_forest,upstream_only,sensitivity,-0.0017221211272901906,-0.02842672468239901,0.02953466841636651,240,8,full_panel
lowacc,10,random_forest,upstream_only,specificity,-0.021008530854846455,-0.042781941565640164,-0.006318948270682428,240,8,full_panel
lowacc,10,random_forest,upstream_only,omission_rate,0.0017221211272902114,-0.029971111374523116,0.02781971433484917,240,8,full_panel
lowacc,10,random_forest,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,10,random_forest,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,10,random_forest,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,10,xgboost,combined,auc,-0.024504994722578968,-0.03872524116959325,-0.012855995010721029,240,8,full_panel
lowacc,10,xgboost,combined,tss,-0.04472425892649306,-0.06326593130966943,-0.028926786381977675,240,8,full_panel
lowacc,10,xgboost,combined,brier,0.014305060154148837,0.0074513575049336474,0.022524518896309343,240,8,full_panel
lowacc,10,xgboost,combined,sensitivity,-0.019880130974555085,-0.034550896908263254,-0.006438939068446681,240,8,full_panel
lowacc,10,xgboost,combined,specificity,-0.02484412795193794,-0.041218261044217275,-0.009980118311416656,240,8,full_panel
lowacc,10,xgboost,combined,omission_rate,0.0198801309745551,0.006642615201912756,0.034746368855777914,240,8,full_panel
