entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,random_forest,snapping,1,0.9816157203603092,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9781374655437096,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9812703298341691,1.0,1.0
Astacus astacus,random_forest,snapping,1,0.9778344748315237,1.0,1.0
Astacus astacus,random_forest,snapping,1,0.9758808137422522,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.982194216700679,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9814643363616031,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9819563090920608,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9836457723241641,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9814137365281336,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9836113995202465,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9814568777420207,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9767312804205889,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9806394130357947,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9800589945858643,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9819321621933416,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9807183575398104,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9834916808222747,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9814583411395154,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9797946000577665,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.984377672757072,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,1,0.9791029374018294,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,1,0.9786507623946311,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9808113527736154,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9823379893353495,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9744421136835801,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9814702103198755,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9803758751438848,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.978774758140206,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9849078349240399,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9764242984891532,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9802683398374566,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9818096473622355,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9809223119735259,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9783985211232258,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9815855968508442,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9806963074716899,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9771527570016965,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9816453321968016,1.0,1.0
Astacus astacus,random_forest,snapping,2,0.9820694598199444,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9790054781059534,0.6666666666666666,0.8181818181818182
