species,category_used,n_clean_dedup_200m,n_snap_pool,n_lowacc_pool,feas_snap_1,feas_snap_2,feas_snap_5,feas_lowacc_3,feas_lowacc_10,feas_lowacc_20,max_snap_contamination_pct,max_lowacc_contamination_pct,n_basins,strahler_min,strahler_max,gate_1_min_benchmark,gate_2_snap_pool,gate_3_lowacc_pool,gate_4_basin_spread,gate_5_strahler_spread,classification
Procambarus holifieldi,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,0,0,0,0,1,INELIGIBLE
Procambarus horsti,regional,1,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0,0,0,0,0,INELIGIBLE
Procambarus howellae,endemic,22,4,0,1,1,1,0,0,0,5,0,2,1.0,7.0,0,1,0,0,1,INELIGIBLE
Procambarus hubbelli,regional,25,5,0,1,1,1,0,0,0,5,0,4,1.0,4.0,0,1,0,1,1,INELIGIBLE
Procambarus hybus,regional,20,7,0,1,1,1,0,0,0,5,0,3,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus incilis,regional,11,4,1,1,1,1,1,0,0,5,3,3,1.0,3.0,0,1,0,1,1,INELIGIBLE
Procambarus jaculus,regional,3,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Procambarus kensleyi,endemic,39,5,0,1,1,1,0,0,0,5,0,5,1.0,4.0,0,1,0,1,1,INELIGIBLE
Procambarus kilbyi,regional,10,2,0,1,1,1,0,0,0,5,0,6,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus lagniappe,endemic,16,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Procambarus latipleurum,regional,1,2,0,1,1,1,0,0,0,5,0,1,2.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus lecontei,regional,32,1,0,1,1,0,0,0,0,2,0,8,1.0,6.0,0,0,0,1,1,INELIGIBLE
Procambarus leonensis,regional,11,1,0,1,1,1,0,0,0,5,0,6,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus lepidodactylus,regional,16,2,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus lewisi,regional,18,6,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus liberorum,regional,43,3,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus litosternum,regional,20,0,0,0,0,0,0,0,0,0,0,5,1.0,6.0,0,0,0,1,1,INELIGIBLE
Procambarus lophotus,regional,47,5,0,1,1,1,0,0,0,5,0,5,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus lucifugus alachua,regional,2,1,0,1,1,1,0,0,0,5,0,2,1.0,9.0,0,1,0,0,1,INELIGIBLE
Procambarus lucifugus lucifugus,regional,2,1,0,1,1,1,0,0,0,5,0,2,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus lunzi,regional,17,3,0,1,1,1,0,0,0,5,0,9,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus luxus,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Procambarus mancus,regional,4,1,0,1,1,1,0,0,0,5,0,2,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus marthae,regional,15,2,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Procambarus medialis,regional,13,3,0,1,1,1,0,0,0,5,0,2,1.0,8.0,0,1,0,0,1,INELIGIBLE
Procambarus natchitochae,regional,15,2,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus nechesae,endemic,6,6,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Procambarus nigrocinctus,endemic,13,5,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Procambarus nueces,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Procambarus okaloosae,endemic,14,7,0,1,1,1,0,0,0,5,0,3,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus ouachitae,regional,56,4,0,1,1,1,0,0,0,5,0,1,1.0,8.0,0,1,0,0,1,INELIGIBLE
Procambarus paeninsulanus,widespread,82,14,0,1,1,1,0,0,0,5,0,17,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus pallidus,regional,6,3,0,1,1,1,0,0,0,5,0,2,1.0,7.0,0,1,0,0,1,INELIGIBLE
Procambarus parasimulans,regional,36,5,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus pearsei,regional,42,17,0,1,1,1,0,0,0,5,0,4,1.0,5.0,0,1,0,1,1,INELIGIBLE
Procambarus petersi,regional,5,1,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Procambarus pictus,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Procambarus planirostris,regional,3,4,0,1,1,1,0,0,0,5,0,2,1.0,9.0,0,1,0,0,1,INELIGIBLE
Procambarus plumimanus,regional,41,8,0,1,1,1,0,0,0,5,0,8,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus pubescens,regional,30,6,0,1,1,1,0,0,0,5,0,5,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus pubischelae,endemic,16,2,0,1,1,1,0,0,0,5,0,4,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus pubischelae deficiens,regional,11,3,0,1,1,1,0,0,0,5,0,3,1.0,3.0,0,1,0,1,1,INELIGIBLE
Procambarus pubischelae pubischelae,regional,7,2,0,1,1,1,0,0,0,5,0,3,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus pycnogonopodus,regional,5,1,0,1,1,1,0,0,0,5,0,2,1.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus pygmaeus,regional,22,0,0,0,0,0,0,0,0,0,0,10,1.0,7.0,0,0,0,1,1,INELIGIBLE
Procambarus raneyi,regional,46,4,0,1,1,1,0,0,0,5,0,5,1.0,8.0,0,1,0,1,1,INELIGIBLE
Procambarus rathbunae,regional,1,2,0,1,1,1,0,0,0,5,0,1,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus regalis,regional,4,1,0,1,1,1,0,0,0,5,0,1,1.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus regiomontanus,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Procambarus reimeri,endemic,18,2,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Procambarus rogersi,regional,7,1,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus rogersi campestris,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Procambarus rogersi expletus,regional,0,1,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Procambarus rogersi ochlocknensis,regional,8,0,0,0,0,0,0,0,0,0,0,2,1.0,4.0,0,0,0,0,1,INELIGIBLE
Procambarus rogersi rogersi,regional,2,0,0,0,0,0,0,0,0,0,0,1,4.0,5.0,0,0,0,0,0,INELIGIBLE
Procambarus seminolae,regional,55,18,0,1,1,1,0,0,0,5,0,10,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus shermani,endemic,13,6,0,1,1,1,0,0,0,5,0,7,1.0,8.0,0,1,0,1,1,INELIGIBLE
Procambarus simulans,widespread,110,17,0,1,1,1,0,0,0,5,0,9,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus spiculifer,widespread,340,30,1,1,1,1,0,0,0,5,0,22,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus steigmani,regional,1,2,0,1,1,1,0,0,0,5,0,1,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus suttkusi,regional,30,0,0,0,0,0,0,0,0,0,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Procambarus talpoides,regional,24,7,0,1,1,1,0,0,0,5,0,6,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus texanus,regional,2,0,0,0,0,0,0,0,0,0,0,1,3.0,4.0,0,0,0,0,0,INELIGIBLE
Procambarus troglodytes,widespread,251,38,1,1,1,1,0,0,0,5,0,18,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus truculentus,regional,6,1,0,1,1,1,0,0,0,5,0,2,1.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus tulanei,regional,15,6,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus verrucosus,regional,51,1,0,1,0,0,0,0,0,1,0,3,1.0,6.0,0,0,0,1,1,INELIGIBLE
Procambarus versutus,widespread,251,25,0,1,1,1,0,0,0,5,0,15,1.0,10.0,0,1,0,1,1,INELIGIBLE
Procambarus viaeviridis,regional,63,12,0,1,1,1,0,0,0,5,0,4,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus vioscai,regional,64,5,0,1,1,1,0,0,0,5,0,5,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus vioscai paynei,regional,34,2,0,1,1,1,0,0,0,5,0,4,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus virginalis,widespread,132,35,11,1,1,1,1,0,0,5,3,34,1.0,10.0,0,1,0,1,1,INELIGIBLE
Procambarus youngi,regional,2,2,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Procambarus zonangulus,regional,8,1,0,1,1,1,0,0,0,5,0,5,1.0,5.0,0,1,0,1,1,INELIGIBLE
Samastacus spinifrons,widespread,24,5,13,1,1,1,1,1,1,5,20,19,1.0,9.0,0,1,1,1,1,INELIGIBLE
Troglocambarus maclanei,regional,3,2,0,1,1,1,0,0,0,5,0,2,1.0,2.0,0,1,0,0,0,INELIGIBLE
Virilastacus araucanius,regional,4,2,4,1,1,1,1,1,1,5,20,3,1.0,5.0,0,1,1,1,1,INELIGIBLE
Virilastacus jarai,regional,2,0,0,0,0,0,0,0,0,0,0,2,1.0,3.0,0,0,0,0,1,INELIGIBLE
Virilastacus rucapihuelensis,regional,8,1,0,1,1,1,0,0,0,5,0,5,1.0,5.0,0,1,0,1,1,INELIGIBLE
