species,category_used,n_clean_dedup_200m,n_snap_pool,n_lowacc_pool,feas_snap_1,feas_snap_2,feas_snap_5,feas_lowacc_3,feas_lowacc_10,feas_lowacc_20,max_snap_contamination_pct,max_lowacc_contamination_pct,n_basins,strahler_min,strahler_max,gate_1_min_benchmark,gate_2_snap_pool,gate_3_lowacc_pool,gate_4_basin_spread,gate_5_strahler_spread,classification
Faxonius palmeri longimanus,widespread,120,4,0,1,1,0,0,0,0,2,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius palmeri palmeri,regional,23,2,0,1,1,1,0,0,0,5,0,3,1.0,8.0,0,1,0,1,1,INELIGIBLE
Faxonius pardalotus,regional,5,3,0,1,1,1,0,0,0,5,0,1,1.0,11.0,0,1,0,0,1,INELIGIBLE
Faxonius perfectus,regional,46,1,0,1,1,0,0,0,0,2,0,2,1.0,9.0,0,0,0,0,1,INELIGIBLE
Faxonius peruncus,regional,32,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius placidus,widespread,203,16,0,1,1,1,0,0,0,5,0,2,1.0,11.0,0,1,0,0,1,INELIGIBLE
Faxonius propinquus,widespread,1069,36,2,1,1,0,0,0,0,2,0,9,1.0,10.0,1,0,0,1,1,INELIGIBLE
Faxonius punctimanus,regional,284,5,0,1,0,0,0,0,0,1,0,1,1.0,8.0,1,0,0,0,1,INELIGIBLE
Faxonius putnami,regional,155,3,0,1,0,0,0,0,0,1,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius quadruncus,endemic,22,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius quinebaugensis,regional,2,0,0,0,0,0,0,0,0,0,0,2,5.0,6.0,0,0,0,0,0,INELIGIBLE
Faxonius rafinesquei,endemic,10,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius raymondi,regional,32,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius rhoadesi,regional,20,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius roberti,regional,17,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius ronaldi,endemic,10,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Faxonius rusticus,widespread,1846,54,8,1,1,0,0,0,0,2,0,22,1.0,10.0,1,0,0,1,1,INELIGIBLE
Faxonius sanbornii,widespread,951,22,0,1,1,0,0,0,0,2,0,6,1.0,10.0,1,0,0,1,1,INELIGIBLE
Faxonius sanbornii erismorphorous,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Faxonius sanbornii sanbornii,regional,23,1,0,1,1,0,0,0,0,2,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius saxatilis,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Faxonius shoupi,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius sloanii,regional,58,3,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius spinosus,regional,59,3,0,1,1,1,0,0,0,5,0,5,1.0,8.0,0,1,0,1,1,INELIGIBLE
Faxonius stannardi,endemic,23,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius taylori,regional,7,0,0,0,0,0,0,0,0,0,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Faxonius texanus,endemic,10,0,0,0,0,0,0,0,0,0,0,2,1.0,9.0,0,0,0,0,1,INELIGIBLE
Faxonius theaphionensis,regional,5,0,0,0,0,0,0,0,0,0,0,1,3.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius tricuspis,endemic,20,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Faxonius validus,widespread,191,9,0,1,1,0,0,0,0,2,0,4,1.0,7.0,0,0,0,1,1,INELIGIBLE
Faxonius virginiensis,widespread,51,1,0,1,0,0,0,0,0,1,0,4,1.0,9.0,0,0,0,1,1,INELIGIBLE
Faxonius virilis,widespread,2268,111,4,1,1,0,0,0,0,2,0,47,1.0,12.0,1,0,0,1,1,INELIGIBLE
Faxonius wagneri,endemic,15,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius williamsi,regional,45,3,0,1,1,1,0,0,0,5,0,2,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius wrighti,endemic,19,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius yanahlindus,regional,70,2,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Hobbseus cristatus,regional,5,1,0,1,1,1,0,0,0,5,0,2,1.0,9.0,0,1,0,0,1,INELIGIBLE
Hobbseus orconectoides,regional,6,1,0,1,1,1,0,0,0,5,0,1,1.0,9.0,0,1,0,0,1,INELIGIBLE
Hobbseus petilus,regional,4,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,0,0,0,0,1,INELIGIBLE
Hobbseus prominens,endemic,13,3,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Hobbseus valleculus,regional,3,0,0,0,0,0,0,0,0,0,0,2,1.0,3.0,0,0,0,0,1,INELIGIBLE
Hobbseus yalobushensis,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,0,0,0,0,0,INELIGIBLE
Lacunicambarus acanthura,regional,76,5,0,1,1,1,0,0,0,5,0,6,1.0,7.0,0,1,0,1,1,INELIGIBLE
Lacunicambarus chimera,regional,71,6,0,1,1,1,0,0,0,5,0,2,1.0,8.0,0,1,0,0,1,INELIGIBLE
Lacunicambarus dalyae,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Lacunicambarus diogenes,widespread,1117,107,0,1,1,1,0,0,0,5,0,66,1.0,9.0,1,1,0,1,1,SNAPPING-ONLY
Lacunicambarus erythrodactylus,regional,18,4,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Lacunicambarus freudensteini,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Lacunicambarus ludovicianus,widespread,119,31,0,1,1,1,0,0,0,5,0,13,1.0,10.0,0,1,0,1,1,INELIGIBLE
Lacunicambarus miltus,regional,26,1,0,1,1,0,0,0,0,2,0,10,1.0,8.0,0,0,0,1,1,INELIGIBLE
