axis,level,algorithm,metric,delta,lo95,hi95,n_ent,n,sig
lowacc,20,xgboost,specificity,-0.03580375651691181,-0.06204900045031455,-0.009389488792935068,8,240,*
snapping,1,maxent,auc,-0.011315464812124728,-0.020558068887393227,-0.003968448636943355,13,390,*
snapping,1,maxent,tss,-0.02338570137800058,-0.045735428330200036,-0.006075007457771321,13,390,*
snapping,1,maxent,brier,0.006015126649711409,-0.0015035422895134246,0.015000763350925459,13,390,
snapping,1,maxent,sensitivity,-0.010546346477053218,-0.023184616118878943,0.0028214403562793586,13,390,
snapping,1,maxent,specificity,-0.012839354900947397,-0.028874582664569496,0.0008026149669913689,13,390,
snapping,1,random_forest,auc,-0.0063708789425459085,-0.023766973288268867,0.008115307488561596,13,390,
snapping,1,random_forest,tss,-0.015596800068688818,-0.04292183620249673,0.008188071262019788,13,390,
snapping,1,random_forest,brier,0.004581423817960698,-0.0012233909463891003,0.012490865306886471,13,390,
snapping,1,random_forest,sensitivity,0.0021164711576076977,-0.010539562473264074,0.013334925754375681,13,390,
snapping,1,random_forest,specificity,-0.017713271226296526,-0.046615875292217425,0.008242803070125789,13,390,
snapping,1,xgboost,auc,-0.00472707282782331,-0.018468817222616278,0.007294245907348746,13,390,
snapping,1,xgboost,tss,-0.00693798069147755,-0.031850675087474224,0.013857636705462589,13,390,
snapping,1,xgboost,brier,0.0055766999435454215,-0.005066911520075574,0.01912505554705664,13,390,
snapping,1,xgboost,sensitivity,-0.0002755669520635007,-0.011661905438060251,0.011515228701820224,13,390,
snapping,1,xgboost,specificity,-0.006662413739414017,-0.03351756546323829,0.017139896228503985,13,390,
snapping,2,maxent,auc,-0.011285307707664434,-0.02096748066719795,-0.0032618153948397607,13,390,*
snapping,2,maxent,tss,-0.023066242246428108,-0.04510271858700784,-0.00497305241992957,13,390,*
snapping,2,maxent,brier,0.004940854242659375,-0.0030792702856341685,0.014004689328626845,13,390,
snapping,2,maxent,sensitivity,-0.010589840122177802,-0.022964940558585126,0.002507151318906219,13,390,
snapping,2,maxent,specificity,-0.01247640212425034,-0.02966007167459451,0.001686335277652775,13,390,
snapping,2,random_forest,auc,-0.00640902101697045,-0.023479762330449936,0.006736768535044286,13,390,
snapping,2,random_forest,tss,-0.014064737669562158,-0.03880047809962104,0.007781748654986406,13,390,
snapping,2,random_forest,brier,0.004803892204594055,-0.0004612933953122694,0.012182637879537082,13,390,
snapping,2,random_forest,sensitivity,0.0007941146662062521,-0.010004392413285833,0.010390172530563624,13,390,
snapping,2,random_forest,specificity,-0.014858852335768415,-0.0439175394982725,0.009978041590320175,13,390,
snapping,2,xgboost,auc,-0.004558684160052827,-0.018199078766158658,0.00766736880548584,13,390,
snapping,2,xgboost,tss,-0.00509370453607511,-0.029886815752252403,0.01492978268096771,13,390,
snapping,2,xgboost,brier,0.0058036869528465635,-0.0038552876061693476,0.01938181464824877,13,390,
snapping,2,xgboost,sensitivity,-0.001044246595555193,-0.01073904332953609,0.009248626527567135,13,390,
snapping,2,xgboost,specificity,-0.004049457940519897,-0.030970665618815424,0.018221540697777754,13,390,
snapping,5,maxent,auc,-0.012890232998519567,-0.022768071381000916,-0.004518323093952386,13,390,*
snapping,5,maxent,tss,-0.02406155098712899,-0.04868248724673852,-0.0036331121125922597,13,390,*
snapping,5,maxent,brier,0.005103928643576895,-0.0018473816838369722,0.013740722376443939,13,390,
snapping,5,maxent,sensitivity,-0.011622508802618104,-0.0232742003058046,0.0012775952639759083,13,390,
snapping,5,maxent,specificity,-0.012439042184510926,-0.02956178363516847,0.002267234771416735,13,390,
snapping,5,random_forest,auc,-0.00556667498442325,-0.019373487976792707,0.0070768751946441374,13,390,
snapping,5,random_forest,tss,-0.012317932367970779,-0.04052757827234896,0.013180208699861855,13,390,
snapping,5,random_forest,brier,0.0034772706765826894,-0.0012333564822992892,0.009851667445306593,13,390,
snapping,5,random_forest,sensitivity,0.00042805075159017396,-0.009553787867633402,0.010080099617939516,13,390,
snapping,5,random_forest,specificity,-0.012745983119560968,-0.04225400126429837,0.013261582837444138,13,390,
snapping,5,xgboost,auc,-0.004516193956581833,-0.016803047398658115,0.006287399989808195,13,390,
snapping,5,xgboost,tss,-0.0050385427769563,-0.029598736556062853,0.017312459458701766,13,390,
snapping,5,xgboost,brier,0.0034321183969752704,-0.005795533680593931,0.0154541344876189,13,390,
snapping,5,xgboost,sensitivity,-0.002361085064998774,-0.0143704443192919,0.01061762068320345,13,390,
snapping,5,xgboost,specificity,-0.0026774577119575015,-0.027147566428549125,0.0209653364369811,13,390,
