entity,axis,level,n_basins,ari_vs_clean,agree_vs_clean,ari_rep_vs_rep,agree_rep_vs_rep
Pacifastacus leniusculus (alien),lowacc,3,196,0.041268485791078335,0.3826530612244898,0.04294484203244104,0.37055837563451777
Pacifastacus leniusculus (alien),lowacc,10,191,0.018862371061639592,0.32460732984293195,0.0008154725229169825,0.3
Pacifastacus leniusculus (alien),lowacc,20,184,0.011862115850139434,0.32065217391304346,0.015070723262930031,0.3197969543147208
Faxonius limosus (alien),snapping,1,108,0.18429249564567823,0.5277777777777778,0.04973098364203429,0.37962962962962965
Faxonius limosus (alien),snapping,2,107,0.09618452752938025,0.40186915887850466,-0.000544009612324592,0.29523809523809524
Faxonius limosus (alien),snapping,5,105,0.04502648585485986,0.34285714285714286,0.041857843399217734,0.34285714285714286
Faxonius limosus (alien),lowacc,3,106,0.0048814360750588665,0.2830188679245283,-0.0012374212550110447,0.3148148148148148
Faxonius limosus (alien),lowacc,10,106,0.006303120738541047,0.32075471698113206,-0.017744019095401933,0.26126126126126126
Faxonius limosus (alien),lowacc,20,102,0.003491530919835747,0.29411764705882354,0.027759992132769074,0.37962962962962965
Lacunicambarus diogenes,snapping,1,65,0.25197049739236105,0.5230769230769231,0.14811622128695298,0.5230769230769231
Lacunicambarus diogenes,snapping,2,65,0.0905651968887484,0.5076923076923077,0.03237841179116979,0.4090909090909091
Lacunicambarus diogenes,snapping,5,66,0.051970741963013566,0.4393939393939394,0.029369955026477018,0.359375
Cambarus latimanus,snapping,1,21,0.06837999082147775,0.5238095238095238,0.04858615841274801,0.47619047619047616
Cambarus latimanus,snapping,2,21,0.2049142327306444,0.5238095238095238,0.2207484604452866,0.5714285714285714
Cambarus latimanus,snapping,5,21,0.055844770468528156,0.42857142857142855,0.13633328882360796,0.5454545454545454
Cambarus striatus,snapping,1,16,0.6178343949044586,0.875,0.14012738853503184,0.625
Cambarus striatus,snapping,2,16,0.4267515923566879,0.8125,0.044585987261146494,0.5625
Cambarus striatus,snapping,5,16,0.18789808917197454,0.6875,0.2688679245283019,0.5625
Creaserinus fodiens,snapping,1,36,0.24309171005206248,0.5555555555555556,0.15636263516219465,0.5277777777777778
Creaserinus fodiens,snapping,2,36,0.14059371245494592,0.5833333333333334,0.1327092511013216,0.5833333333333334
Creaserinus fodiens,snapping,5,35,0.07505363486090107,0.5428571428571428,0.008089192135898428,0.45714285714285713
Faxonius limosus (native),snapping,1,47,0.25513923555237283,0.6170212765957447,0.17862785793539604,0.5106382978723404
Faxonius limosus (native),snapping,2,47,0.11257813769336673,0.5319148936170213,0.031133729632639096,0.45652173913043476
Faxonius limosus (native),snapping,5,45,0.30888013804698905,0.7111111111111111,0.23354820187161207,0.6304347826086957
