entity,algorithm,track,axis,level,replicate,seed,status,n_folds_completed,n_features,benchmark_presence_n,contrast_pool_n,accessible_area_segment_count,reference_set_n,eval_mode,cv_auc,cv_auc_unweighted,cv_brier,cv_brier_unweighted,cv_sensitivity,cv_sensitivity_unweighted,cv_specificity,cv_specificity_unweighted,cv_tss,cv_tss_unweighted,cv_boyce,cv_boyce_unweighted,cv_omission_rate,auc,brier,sensitivity,specificity,tss,boyce,omission_rate,species,category,entity_type,n_experiment,grid_id,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,niche_centroid_disp,niche_breadth_change,CLI_shift,LAC_shift,SOL_shift,TOP_shift,domain_rank_stability,schoener_d,warren_i,threshold_max_sss,threshold_p10,range_area_pct_change_03,range_area_pct_change_07,range_area_pct_change_maxsss,range_area_pct_change_p10,range_area_pct_change_maxsss_fix,suitability_mad,suitability_mean_shift,range_area_pct_change_05,gain_segments,loss_segments,stable_segments
Austropotamobius torrentium (pooled),random_forest,combined,snapping,2,5,4156103267,ok,5,296,880,11872,11872,152,reference_set,0.8884779200491304,0.8464498789640038,0.1585666925557749,0.19064573759709014,0.8075177376105274,0.6849192124522143,0.7791103488801269,0.8009442888266417,0.5866280864906545,0.4858635012788561,0.9178086938611935,0.7313047581015161,0.19248226238947264,0.8889303890622784,0.07872585270618765,0.6973684210526315,0.8982479784366577,0.5956163994892893,0.9999999999999999,0.3026315789473685,Austropotamobius torrentium,regional,DUAL,880,B,0.9756530479154819,0.6666666666666666,0.8181818181818182,2499783.4236082127,-20262.59636430582,-0.008348427565072813,0.0019824296490157135,0.0021262988459129772,0.004239699070144154,1.0,0.9550638266897582,0.9968884744270137,0.716,0.8376,0.9496284062758051,0.38022813688212925,-0.205761316872428,5.0,-0.205761316872428,0.015493234216928626,0.0014050575912183054,0.6666666666666667,69.0,61.0,1139.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,2,6,2143209798,ok,5,296,880,11872,11872,152,reference_set,0.7935884836857677,0.8398199977483871,0.1782069387625512,0.14989102136129798,0.4429175916939599,0.6280713980072131,0.824938674978894,0.7741033222270012,0.267856266672854,0.40217472023421436,0.9047365497647392,0.9114026131242274,0.5570824083060402,0.8889641926159739,0.08023939729788533,0.6973684210526315,0.8919305929919138,0.5892990140445453,0.9999999999999999,0.3026315789473685,Austropotamobius torrentium,regional,DUAL,880,B,0.9787235830726421,1.0,0.8181818181818182,736446.4214814098,-17982.56720087072,-0.01224775653635557,-0.0002780554240287038,0.00736468926965414,0.005161122690730102,1.0,0.9564087748094185,0.9968203385028428,0.716,0.84,1.6639610389610389,0.19305019305019305,1.2605042016806722,0.0,1.2605042016806722,0.015082760958156848,0.0030244837793608004,1.0236220472440944,80.0,67.0,1203.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,2,7,1805348735,ok,5,296,880,11872,11872,152,reference_set,0.8773009468375691,0.8582926654383961,0.15803203024264814,0.17766258741586166,0.7921929607141525,0.6849840480372638,0.7613641862833372,0.6594298399565439,0.5535571469974895,0.3444138879938078,0.8380994264564644,0.5572304706076147,0.20780703928584754,0.8908522042133636,0.07554013173652695,0.7105263157894737,0.9006907008086253,0.611217016598099,0.9999999999999999,0.2894736842105263,Austropotamobius torrentium,regional,DUAL,880,B,0.976193354334329,1.0,0.5384615384615384,2161249.4664914,3278.5576216559857,0.009073636114488248,-0.0009697940293223913,0.002265332102358353,-0.01036917418752431,1.0,0.9540637855412528,0.9966582360605216,0.686,0.84,0.9421841541755889,2.013422818791946,2.272727272727273,5.208333333333334,3.418803418803419,0.015651280323450135,0.002300202156334232,2.166377816291161,81.0,56.0,1098.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,0,3220716425,ok,5,296,880,11872,11872,152,reference_set,0.726809449403071,0.7981207223192608,0.19206414999042243,0.16126534715124613,0.45181487602606496,0.6084351921501115,0.7641636812356931,0.751715921797889,0.21597855726175816,0.3601511139480005,0.7371112919023844,0.6955794122998793,0.548185123973935,0.894212887022982,0.07859164817236937,0.7236842105263158,0.8951314016172507,0.6188156121435666,0.9878787878787878,0.2763157894736842,Austropotamobius torrentium,regional,DUAL,880,B,0.9751597492741909,0.6666666666666666,0.6666666666666666,5024668.787964132,21993.078982842155,-0.002724227017928127,-0.0009504620962294194,0.0035470259335535492,0.0001276631806039208,1.0,0.9500895178857132,0.9962744975863873,0.7115011672502919,0.8329,1.2269938650306749,2.55863539445629,1.8181818181818181,11.45374449339207,1.8181818181818181,0.017138291377871907,0.004079929967269927,4.184100418410042,122.0,72.0,1123.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,1,2497235828,ok,5,296,880,11872,11872,152,reference_set,0.8665471978142637,0.8558933254306073,0.17031415392778035,0.19309197998838845,0.7845758520081153,0.6974189912826333,0.7407118653813776,0.6653615196476961,0.5252877173894928,0.36278051093032937,0.8491705116865899,0.5272463426204054,0.2154241479918847,0.898519792257767,0.07467571686586388,0.7302631578947368,0.909366576819407,0.639629734714144,0.9878787878787878,0.26973684210526316,Austropotamobius torrentium,regional,DUAL,880,B,0.9786621092684409,0.6666666666666666,0.6666666666666666,4007058.382068315,17912.16995344078,-0.00756219527416202,-0.00021849739443762992,0.01258224184407461,-0.004801549175474984,1.0,0.9439646177939076,0.9956957066056896,0.7013333333333334,0.8392999999999999,1.7391304347826086,7.73067331670823,7.537688442211055,10.734463276836157,7.537688442211055,0.018934349529906302,0.006144339823193428,3.065134099616858,105.0,73.0,971.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,2,3040354288,ok,5,296,880,11872,11872,152,reference_set,0.7360565133964898,0.8088884786534708,0.18920900265343135,0.1592397211920386,0.49923542722506875,0.647576334845377,0.7635505860615529,0.7609999833318349,0.26278601328662154,0.4085763181772119,0.6545353976186207,0.630325338298017,0.5007645727749312,0.8941136929883672,0.07541821086448325,0.6973684210526315,0.905154986522911,0.6025234075755426,0.9878787878787878,0.3026315789473685,Austropotamobius torrentium,regional,DUAL,880,B,0.9775615418133693,1.0,0.6666666666666666,8797405.206909766,7410.649492536206,-0.0058242781074154815,-0.0003307680982868738,0.0038969877223669624,0.002258058483335379,1.0,0.9480854816114127,0.9960624785876034,0.6818374187093545,0.822,2.7589134125636674,4.7281323877068555,5.764966740576496,8.796296296296296,5.764966740576496,0.017489036829354383,0.005843584143563086,1.8083182640144666,83.0,63.0,1043.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,3,3007116232,ok,5,296,880,11872,11872,152,reference_set,0.7309943747916765,0.814162057029504,0.19456983800235234,0.15944480105907502,0.4284570490379857,0.6071480826084107,0.8166068766946017,0.8605933473895352,0.2450639257325874,0.467741429997946,0.5261733160371959,0.5218829860421862,0.5715429509620142,0.8952968173677116,0.07498893858844864,0.75,0.9053234501347709,0.6553234501347709,0.9757575757575757,0.25,Austropotamobius torrentium,regional,DUAL,880,B,0.973129358517355,0.6666666666666666,0.6666666666666666,9728546.980807623,775.0894365389831,0.004456126312479158,-0.0013633658080333955,0.0036956063422670105,-0.006788366846712746,1.0,0.9478537864498872,0.996274359257463,0.661840420210105,0.83992,1.984126984126984,6.192660550458716,6.551059730250482,7.177033492822966,6.551059730250482,0.01764554473912206,0.005146589833403344,3.8817005545286505,96.0,54.0,1028.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,4,2045148698,ok,5,296,880,11872,11872,152,reference_set,0.7319104961535532,0.7706649491770678,0.1923109161470164,0.16266907940089964,0.4421322481758128,0.5973791992636908,0.7851225604055906,0.7292267253499601,0.22725480858140346,0.326605924613651,0.6879424192510549,0.6355165814662851,0.5578677518241872,0.8934600652574833,0.07780223930207988,0.756578947368421,0.898921832884097,0.6555007802525181,0.9878787878787878,0.24342105263157898,Austropotamobius torrentium,regional,DUAL,880,B,0.971867581109996,1.0,0.6666666666666666,5365250.43829915,18460.43907125853,-0.0005307109068818372,-0.0016389296851556656,0.00820383309196232,-0.006034192499924762,1.0,0.9476862756366313,0.9956643352344209,0.7070195097548773,0.8349,3.529900332225914,8.551068883610451,7.654320987654321,10.99476439790576,7.654320987654321,0.018247722131305353,0.005681342654986522,4.986876640419948,99.0,42.0,1101.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,5,3818628030,ok,5,296,880,11872,11872,152,reference_set,0.7535297810623419,0.7862905737408289,0.19213077169415585,0.16572845817184972,0.43736519603370055,0.6114180944163687,0.7949356188944825,0.7313053221288515,0.2323008149281831,0.3427234165452203,0.6046914646750875,0.5664149552017792,0.5626348039662994,0.891747721307987,0.0800498494865805,0.7039473684210527,0.8977425876010782,0.6016899560221307,0.9878787878787878,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,0.9785115734198526,0.6666666666666666,0.6666666666666666,6061980.846709464,17940.08907697443,-0.008624768721308185,-0.00023426971192772733,0.0038426935750309754,0.0050163448582049575,1.0,0.9488797595089835,0.995996925458573,0.665,0.834,1.032204789430223,3.2319391634980987,2.7642276422764227,8.94308943089431,3.754266211604096,0.017502085338852523,0.004563155804774739,1.1666666666666667,76.0,62.0,1138.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,6,98945448,ok,5,296,880,11872,11872,152,reference_set,0.8858598887172809,0.8688994692066234,0.1562976795560783,0.1811822920615785,0.7881073823448917,0.697230790236497,0.8058696272192682,0.786603253426564,0.5939770095641598,0.48383404366306115,0.8374671056680648,0.5175907226019161,0.21189261765510825,0.8878733353135196,0.08348358140356334,0.7171052631578947,0.8860343665768194,0.6031396297347142,0.9999999999999999,0.2828947368421053,Austropotamobius torrentium,regional,DUAL,880,B,0.9737150527680062,1.0,0.6666666666666666,4241717.48394876,-13419.612908127252,-0.014056703768761225,-0.002074339403516628,0.012644163496260796,0.0034868796760171294,1.0,0.9469884249877876,0.9957622286343443,0.6896404869101215,0.83595,4.220779220779221,4.440154440154441,3.656307129798903,5.761316872427984,6.652360515021459,0.018768128088499553,0.008811181772237196,6.535433070866143,131.0,48.0,1222.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,5,7,1134302698,ok,5,296,880,11872,11872,152,reference_set,0.7335826399006862,0.787983771233937,0.18025969046370333,0.15017819342708855,0.4967827181858692,0.6372208582687918,0.7297013155377519,0.6252848793899852,0.2264840337236211,0.26250573765877705,0.5096483159940726,0.5133295834000108,0.5032172818141307,0.890333790697262,0.07793507658865943,0.7039473684210527,0.8971529649595688,0.6011003333806215,0.9999999999999999,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,0.9739317215316826,1.0,0.6666666666666666,7092814.129954871,-641.3473889678717,0.003166828835601432,-0.0006683503154318766,0.008410158157482528,-0.01090863667765224,1.0,0.9483328882322961,0.996079007820064,0.704,0.8438,3.126338329764454,9.172259507829978,8.447488584474886,13.043478260869565,10.199556541019955,0.017870303876267486,0.007060561866255937,5.805892547660312,111.0,44.0,1110.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,0,2132041259,ok,5,296,880,11872,11872,152,reference_set,0.8877014439325218,0.8922918511480298,0.15597396009290462,0.17730061477443854,0.7800609973132792,0.6717318734480207,0.803400505064303,0.8354737854737856,0.5834615023775823,0.507205658921806,0.9483626811545728,0.8715255866902488,0.21993900268672084,0.8947584542133635,0.08385264475685252,0.6973684210526315,0.8856974393530997,0.5830658604057313,0.9999999999999999,0.3026315789473685,Austropotamobius torrentium,regional,DUAL,880,B,0.9759584459023173,0.6666666666666666,0.8181818181818182,6553593.142734153,4507.458167300094,-0.004239670669300533,0.0009356264977193607,0.007205208401316221,-0.0039011642297350213,1.0,0.9268611254800185,0.9919150081530865,0.6836198599299648,0.8260599999999999,6.4621676891615545,10.660980810234541,12.248995983935743,8.11965811965812,12.048192771084338,0.025524670292645366,0.0167686745924785,13.556485355648535,189.0,27.0,1168.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,1,3123662791,ok,5,296,880,11872,11872,152,reference_set,0.866638765860968,0.8780303828345282,0.1682059029558141,0.1845825789063506,0.7594933988193265,0.6821378699606477,0.7781798799766052,0.8370805928564904,0.5376732787959317,0.5192184628171381,0.8733053899680326,0.6693197338861498,0.24050660118067346,0.8933273447474819,0.07892205809703015,0.7039473684210527,0.9027964959568733,0.6067438643779259,0.9636363636363635,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,0.9786945199497555,1.0,0.8181818181818182,4920056.158233893,-3109.912828627974,-0.0057070478495498955,0.0008131026559422792,0.009641784611046533,-0.004747839417439004,1.0,0.9214178669272517,0.9914353543412371,0.6715607803901948,0.816,7.743271221532091,4.738154613466334,6.263498920086392,-0.9803921568627451,9.18803418803419,0.026568588154601464,0.01925710655724554,10.53639846743295,155.0,45.0,999.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,2,1528318917,ok,5,296,880,11872,11872,152,reference_set,0.8743229040152976,0.8817978583630008,0.16596879540817297,0.18469152004706346,0.76244734994735,0.6742568542568542,0.7954876082840978,0.858843802202436,0.5579349582314478,0.5331006564592903,0.8953351036316411,0.7364177192212116,0.23755265005265003,0.9013678801957724,0.07907960692697938,0.6907894736842105,0.8957210242587601,0.5865104979429705,0.9999999999999999,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,0.9765811416009693,1.0,0.6666666666666666,2012804.8967201097,-24953.625583241694,-0.016111540197944252,0.0010472684070765605,0.0052755314737368,0.009788740317130895,1.0,0.9280686468266438,0.9925614056199388,0.689,0.824,8.743633276740239,7.5650118203309695,7.223476297968396,1.8604651162790697,7.223476297968396,0.024959961814914642,0.014631901392632528,11.934900542495479,168.0,36.0,1070.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,3,1792887160,ok,5,296,880,11872,11872,152,reference_set,0.8658530296149963,0.8695689766326999,0.16812467547537369,0.1755268430050219,0.7187614205562001,0.6530181173394807,0.8014582217663365,0.8784995749099138,0.5202196423225365,0.5315176922493945,0.8822416843795812,0.6764258640351994,0.28123857944379993,0.8979487338629594,0.07864469527611444,0.7368421052631579,0.9004380053908356,0.6372801106539936,0.9878787878787878,0.26315789473684215,Austropotamobius torrentium,regional,DUAL,880,B,0.9733275609645525,0.6666666666666666,0.8181818181818182,4724524.638627569,31577.008649827912,0.002086731706625433,0.0008538795689343112,0.0037206146044701516,-0.006661225880029875,1.0,0.9201153918477557,0.991555188520483,0.692,0.818,11.331569664902998,5.963302752293578,5.530973451327434,0.40816326530612246,5.530973451327434,0.02597321428571429,0.018427055256064688,9.242144177449168,132.0,32.0,1050.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,4,3714878637,ok,5,296,880,11872,11872,152,reference_set,0.8632364832157122,0.841568257465793,0.17088313639001287,0.19709031718993816,0.7319450452892913,0.6602916007973405,0.7935633799073336,0.7481374562381428,0.5255084251966249,0.4084290570354831,0.9663147450537372,0.8774213461696236,0.2680549547107087,0.8987445027663499,0.08174960944777113,0.7236842105263158,0.8949629380053908,0.6186471485317067,0.9878787878787878,0.2763157894736842,Austropotamobius torrentium,regional,DUAL,880,B,0.9705607062403123,0.6666666666666666,0.6666666666666666,6500728.06212754,7991.681160992943,-0.010119405571978546,0.0003975850665868287,0.011888409260727983,-0.0021665887553362073,1.0,0.9149401558382457,0.9897065066321847,0.658,0.826,9.426910299003323,7.600950118764846,8.190476190476192,2.4154589371980677,8.190476190476192,0.02868817385444744,0.021224561994609165,9.09886264216973,142.0,38.0,1105.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,5,2725857468,ok,5,296,880,11872,11872,152,reference_set,0.8828932974970808,0.8455040867136427,0.1600151359972201,0.18553366025127754,0.7900081441514812,0.6877104377104377,0.7670841684938253,0.7829548708372237,0.5570923126453065,0.4706653085476614,0.9206793496956094,0.7383857650108278,0.20999185584851876,0.8901065864838985,0.08362706352136243,0.7039473684210527,0.8910040431266847,0.5949514115477372,0.9999999999999999,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,0.9757259188167309,1.0,0.8181818181818182,4921365.395332663,4927.924902296625,-0.0035281196099455348,0.001582882193507374,-0.0008532276927439852,0.002798465109182191,1.0,0.9331261776165521,0.9937415495152079,0.688,0.824,7.720891824938067,0.7604562737642585,2.1699819168173597,2.272727272727273,2.1699819168173597,0.02285505551277115,0.014585226543447568,7.833333333333334,140.0,46.0,1154.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,6,1560906150,ok,5,296,880,11872,11872,152,reference_set,0.8870256994389311,0.8834927286999731,0.15303281051905637,0.1686133042605626,0.7640135108535696,0.6716266383889334,0.8196802770325897,0.8074956050143726,0.5836937878861594,0.4791222434033061,0.9845150228622711,0.9380176215375494,0.2359864891464304,0.8922999383777841,0.08586874292117767,0.6907894736842105,0.8849393530997305,0.5757288267839411,0.9999999999999999,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,0.9759877800407334,1.0,0.8181818181818182,3339113.4526653127,22975.94120092457,-0.01909569298930941,0.0006744756668600436,0.011931703855831866,0.006489513466617525,1.0,0.9184187297678376,0.9910024291650233,0.704,0.8218,9.740259740259742,3.667953667953668,4.7713717693836974,0.3703703703703704,7.837445573294629,0.027365821139776664,0.020631870908740853,7.559055118110236,141.0,45.0,1225.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,7,1705631456,ok,5,296,880,11872,11872,152,reference_set,0.881625519632961,0.8777798657615395,0.15239380644320816,0.16570790886466255,0.7764123839513002,0.6618397390167053,0.7631379448931725,0.6730446579792229,0.5395503288444727,0.3348843969959282,0.9043298001401501,0.7608467595308833,0.2235876160486998,0.8923913742197475,0.08107892090323887,0.6907894736842105,0.8928571428571429,0.5836466165413534,0.9999999999999999,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,0.9738093232069137,1.0,0.8181818181818182,8358982.992128974,7852.606666811742,0.00696475637005195,-0.00027465325415870767,0.0035570590266734425,-0.010247162142566768,1.0,0.9206695721002052,0.9917667423597569,0.663,0.8273,12.805139186295502,5.1454138702460845,2.0220588235294117,-0.9523809523809524,2.0220588235294117,0.026723064272878967,0.01829187604286998,10.22530329289428,169.0,51.0,1103.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,10,0,1976803236,ok,5,296,880,11872,11872,152,reference_set,0.8639173415036233,0.8718385197107974,0.16383265074734096,0.17323524049727573,0.7446341638899657,0.6509799629769965,0.7895831182388638,0.7899843411226211,0.5342172821288295,0.44096430409961745,0.9812337653009674,0.9179566302875924,0.25536583611003427,0.9002465442793304,0.09879454873422515,0.756578947368421,0.8623652291105122,0.6189441764789332,0.9999999999999999,0.24342105263157898,Austropotamobius torrentium,regional,DUAL,880,B,0.9507667956627059,1.0,0.6666666666666666,18396108.233851872,-12252.799983936362,-0.0034697803074729694,0.0020270320718911543,0.00839198342373837,-0.0069492351881564884,1.0,0.8481691581496046,0.9760906996177277,0.6513396698349173,0.79995,29.69325153374233,30.916844349680172,40.10416666666667,11.191335740072201,40.10416666666667,0.0564302546608266,0.04839306070305481,36.73640167364017,465.0,26.0,1169.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,10,1,746287322,ok,5,296,880,11872,11872,152,reference_set,0.8577239146552015,0.8662312044701451,0.16937461956115926,0.17829048728639876,0.7471311834131046,0.65947157717194,0.7653980333543902,0.807190047202093,0.5125292167674947,0.46666162437403286,0.9447113918582881,0.8324163050941212,0.2528688165868954,0.8984607745779544,0.09111398373476921,0.6907894736842105,0.876095013477089,0.5668844871612995,0.9757575757575757,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,0.9670464957519048,1.0,0.8181818181818182,19236317.403820608,12729.2920115171,-0.012879709027035557,0.0020937581106150877,0.013526672647422994,-0.0027407217310025933,1.0,0.857577744701383,0.9790565276267809,0.6669772386193095,0.8018000000000001,25.175983436853,18.204488778054863,23.931623931623932,19.545454545454547,27.027027027027028,0.052155226784109866,0.04331631730522398,40.900383141762454,471.0,44.0,1000.0
