entity,algorithm,track,axis,level,replicate,seed,status,n_folds_completed,n_features,benchmark_presence_n,contrast_pool_n,accessible_area_segment_count,reference_set_n,eval_mode,cv_auc,cv_auc_unweighted,cv_brier,cv_brier_unweighted,cv_sensitivity,cv_sensitivity_unweighted,cv_specificity,cv_specificity_unweighted,cv_tss,cv_tss_unweighted,cv_boyce,cv_boyce_unweighted,cv_omission_rate,auc,brier,sensitivity,specificity,tss,boyce,omission_rate,species,category,entity_type,n_experiment,grid_id,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,niche_centroid_disp,niche_breadth_change,CLI_shift,LAC_shift,SOL_shift,TOP_shift,domain_rank_stability,schoener_d,warren_i,threshold_max_sss,threshold_p10,range_area_pct_change_03,range_area_pct_change_07,range_area_pct_change_maxsss,range_area_pct_change_p10,range_area_pct_change_maxsss_fix,suitability_mad,suitability_mean_shift,range_area_pct_change_05,gain_segments,loss_segments,stable_segments
Procambarus clarkii (alien),random_forest,combined,snapping,1,2,1530355873,ok,5,206,6150,48267,48267,1561,reference_set,0.920077168219782,0.912482377749618,0.1138790374819847,0.11973693563143195,0.8191313734105493,0.8111440356861781,0.8788186433546408,0.8698164709126097,0.6979500167651902,0.6809605065987878,0.9977667020726094,0.9975757575757574,0.1808686265894507,0.8992604226222047,0.07837682423306287,0.757847533632287,0.8923280916568256,0.6501756252891124,0.9999999999999999,0.24215246636771304,Procambarus clarkii,widespread,DUAL,6150,B,0.99096956380577,1.0,1.0,1903322.0215660336,24687.492363787256,-0.0060131982466616885,-0.0004027452206271584,0.006228268598748726,0.00018767486854004423,1.0,0.9594414682972126,0.9968047023695393,0.6829185306939184,0.836,-0.28548589699668836,1.195383347073372,1.0332950631458095,2.3278370514064015,1.0332950631458095,0.012721829861080279,0.00042054968049747097,0.5611455108359132,219.0,190.0,4978.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,3,3971717017,ok,5,206,6150,48267,48267,1561,reference_set,0.9100850264763967,0.9023683223758121,0.12941378385696037,0.13104259422400447,0.8274699572665091,0.8119866427024922,0.8449086156442592,0.8410873983282403,0.6723785729107685,0.6530740410307325,0.982337155403757,0.9781818181818182,0.17253004273349093,0.8971926684191172,0.07828252856916046,0.7616912235746316,0.8928667619698759,0.6545579855445074,0.9999999999999999,0.2383087764253684,Procambarus clarkii,widespread,DUAL,6150,B,0.9935669467914012,1.0,1.0,1171696.7595224073,24188.508546871133,-0.013074167241012513,-0.0008106796421632236,0.00895641887051185,0.004928428012663799,1.0,0.9597065846609961,0.9969229312015798,0.6899297148574286,0.8379000000000001,-0.4400812457684496,1.4372822299651569,0.3284072249589491,2.564102564102564,1.4372822299651569,0.012734029263807373,-0.00026942197518367567,0.32984090027163365,200.0,183.0,4971.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,4,3690022286,ok,5,206,6150,48267,48267,1561,reference_set,0.90924566036017,0.903741147470584,0.12821100416977435,0.12935232135079183,0.8185462246373062,0.8099369909936621,0.8479868640197628,0.8431481022031784,0.666533088657069,0.6530850931968406,0.9999999999999999,0.9999999999999998,0.1814537753626938,0.8951810096695874,0.07986453946273991,0.7642536835361947,0.8891375059564506,0.6533911894926452,0.9999999999999999,0.23574631646380528,Procambarus clarkii,widespread,DUAL,6150,B,0.9933280754174585,1.0,0.8181818181818182,1419931.520964477,16829.55657117348,-0.002800959703599948,0.0003152058811226842,0.0021862331726885675,0.0002995206497886649,1.0,0.9602156020053975,0.9969449373075301,0.6899469734867433,0.84,-0.2820078962210942,-0.32025620496397117,0.34285714285714286,0.697211155378486,0.34285714285714286,0.012621712113274675,0.0007326192005382755,0.22476119123431357,210.0,198.0,5141.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,5,4027622473,ok,5,206,6150,48267,48267,1561,reference_set,0.9191767403837673,0.9140657828475698,0.12111992136392408,0.12332295685426842,0.8257304616934213,0.8124749857092723,0.8696709844581918,0.8680685234743304,0.6954014461516131,0.6805435091836027,0.9980517539894831,0.9975757575757574,0.17426953830657865,0.8987585166310179,0.07892761616240229,0.7674567584881486,0.8953114964675658,0.6627682549557146,0.9999999999999999,0.23254324151185135,Procambarus clarkii,widespread,DUAL,6150,B,0.9895267257941958,1.0,1.0,1528229.3413603718,23045.671254625544,0.010799492137489597,-0.0005079659518750605,-0.004131647695928664,-0.006159878489685855,1.0,0.9601467088918135,0.9969013282272697,0.6754143738535934,0.8349799999999999,0.24713547517411816,0.08097165991902834,0.5109489051094891,1.9516728624535316,0.5109489051094891,0.012578739689051082,0.0003013311865446863,-0.11860051393556038,170.0,176.0,4883.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,6,1125188560,ok,5,206,6150,48267,48267,1561,reference_set,0.9119462337076898,0.9015428103301171,0.11541322747544111,0.12331899110995426,0.8005324110245733,0.8116488875897894,0.8601285305755695,0.8365960211436988,0.6606609416001425,0.6482449087334882,0.9979698123770726,0.9975757575757574,0.1994675889754267,0.8993513645476231,0.07763036271064487,0.7655349135169763,0.8954358050013467,0.6609707185183229,0.9999999999999999,0.23446508648302367,Procambarus clarkii,widespread,DUAL,6150,B,0.9922202064589994,1.0,1.0,2355017.954387614,23254.974972204305,-0.01297770588187247,0.0005404375666231385,0.005694474819648687,0.006742793495600696,1.0,0.9592261576954888,0.9967859766852378,0.6874113723528429,0.832,-0.5745831455610635,0.64963187527068,0.3249390739236393,0.37418147801683815,0.3249390739236393,0.012792596193593771,0.00036921887064531115,-0.09897070467141725,178.0,183.0,4869.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,7,2079536722,ok,5,206,6150,48267,48267,1561,reference_set,0.9099519725545709,0.9014822326568683,0.13165074436727017,0.13376518321045988,0.8267691170924653,0.8078632289636003,0.8487107225844818,0.844798422539305,0.675479839676947,0.6526616515029052,0.9923267938938848,0.9903030303030302,0.17323088290753474,0.8988149173478983,0.0774330557922761,0.7764253683536195,0.8940062568628669,0.6704316252164864,0.9999999999999999,0.22357463164638047,Procambarus clarkii,widespread,DUAL,6150,B,0.989614586529439,0.6666666666666666,1.0,765558.5115321086,18308.830855119973,-0.005466847166220701,-0.0009483265593962509,0.0003916702342172951,0.00602350349139974,1.0,0.9597762289654508,0.9969144274758177,0.6756000500250124,0.84,0.5534417156693185,0.6097560975609756,1.0748560460652592,3.4102306920762286,2.7818991097922847,0.012534939330529484,0.00020455003763786164,0.7880220646178092,221.0,181.0,4895.0
Procambarus clarkii (alien),random_forest,combined,snapping,2,0,3456183604,ok,5,206,6150,48267,48267,1561,reference_set,0.9196034796512506,0.9161111976784623,0.11473536224214638,0.11785635527527846,0.81469222469956,0.8136948683251092,0.8755988856289004,0.8686768661955918,0.6902911103284606,0.682371734520701,0.9999999999999999,0.9999999999999998,0.18530777530043996,0.9014415821495388,0.07830429469675172,0.777706598334401,0.8929703524146932,0.6706769507490944,0.9999999999999999,0.22229340166559897,Procambarus clarkii,widespread,DUAL,6150,B,0.9928942630371945,0.6666666666666666,0.8181818181818182,1477549.399248718,50338.989848414436,0.003213843345119649,-0.0006200091914389111,-0.0016020017261983988,-0.0009918324274824086,1.0,0.9581594210217097,0.9966205084428673,0.6877705519426375,0.838,0.33905967450271246,0.04257130693912303,-0.08009611533840609,4.639684106614018,-0.08009611533840609,0.013150628448698557,0.000483120035674576,1.1354737666405637,238.0,180.0,4928.0
Procambarus clarkii (alien),random_forest,combined,snapping,2,1,435605443,ok,5,206,6150,48267,48267,1561,reference_set,0.9118730888258543,0.9027793348027021,0.12796611933251323,0.13043703359693354,0.8485629373025895,0.8295173064426786,0.8369539082277238,0.8314743881865795,0.6855168455303132,0.660991694629258,0.9941045532194965,0.9927272727272726,0.15143706269741053,0.8965046845244913,0.07953086534235537,0.7604099935938501,0.8898833571591357,0.6502933507529858,0.9999999999999999,0.2395900064061499,Procambarus clarkii,widespread,DUAL,6150,B,0.9896791092568833,1.0,0.8181818181818182,2107178.881869608,45369.96727603767,-0.009175633605527533,0.0007745901670720631,0.00257449476761501,0.005826548670840481,1.0,0.958747768513761,0.9966507810888021,0.681595464398866,0.836,0.13505908835115363,0.9575353871773521,0.975975975975976,2.804642166344294,0.975975975975976,0.013034195797779613,0.0007580874854042855,0.7391963608794542,191.0,152.0,5124.0
Procambarus clarkii (alien),random_forest,combined,snapping,2,2,2463713240,ok,5,206,6150,48267,48267,1561,reference_set,0.9011002751269765,0.8933343175073999,0.12071088773289172,0.1270820275947232,0.7993462316909147,0.8060526144737707,0.8480325924638664,0.8232397074851907,0.6473788241547812,0.6292923219589616,0.9979839218509913,0.9975757575757574,0.20065376830908532,0.8996134132013672,0.07898379356897832,0.7680973734785393,0.8917687032548117,0.6598660767333511,0.9999999999999999,0.23190262652146065,Procambarus clarkii,widespread,DUAL,6150,B,0.9899138621588616,0.6666666666666666,0.8181818181818182,2040931.346691574,8722.319099808112,0.004564027958205263,-0.0011775541185644646,4.329874926325972e-05,-0.0034297725889040898,1.0,0.9578245220593061,0.9966294283311476,0.6876373853593463,0.834,0.5024551787141716,1.4014839241549877,1.4018691588785046,1.3358778625954197,1.3629283489096573,0.013247168544284588,0.0018781401470195057,1.08359133126935,238.0,182.0,4986.0
Procambarus clarkii (alien),random_forest,combined,snapping,2,3,1235843844,ok,5,206,6150,48267,48267,1561,reference_set,0.9134774636964754,0.9069249964021718,0.1221171974040412,0.12521483998135124,0.8236572886829824,0.8119695199858359,0.8627203597560176,0.8579980687072755,0.6863776484390001,0.6699675886931112,0.9935677110363131,0.9927272727272726,0.17634271131701762,0.9011006826524044,0.07791904419544958,0.7789878283151825,0.8931568152153645,0.6721446435305469,0.9999999999999999,0.22101217168481746,Procambarus clarkii,widespread,DUAL,6150,B,0.9931784376027472,1.0,1.0,2159672.547489727,57418.88164183125,-0.004024487024222145,-0.0009157036781590432,0.0028142110693227806,0.0021259796330582725,1.0,0.9585312793071067,0.9967204957455017,0.6855017508754377,0.832,-0.598059128864816,0.21777003484320556,-0.6423123243677238,1.899335232668566,-0.6423123243677238,0.013115776232800289,-0.00020478686512622748,0.05820721769499418,206.0,203.0,4951.0
