entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Procambarus_clarkii_alien,maxent,snapping,10,50,0.8385717522140151,0.8356265425761343,0.8416292614136616
Procambarus_clarkii_alien,maxent,snapping,20,30,0.8409506374104857,0.8346375908649454,0.8462779344977077
Procambarus_clarkii_alien,maxent,snapping,35,30,0.8403423495162944,0.8360643088587044,0.8447212538366872
Procambarus_clarkii_alien,maxent,snapping,50,30,0.8398834908526285,0.8344975059546896,0.844473998157541
Procambarus_clarkii_alien,random_forest,lowacc,0,50,0.898849806131484,0.8957875966032747,0.9017941923383
Procambarus_clarkii_alien,random_forest,lowacc,5,50,0.8962516000779707,0.8935148403041622,0.8988270956044702
Procambarus_clarkii_alien,random_forest,lowacc,10,50,0.890506121647922,0.8871021733100946,0.8939223808933724
Procambarus_clarkii_alien,random_forest,lowacc,20,30,0.8829516619214905,0.8779623984292763,0.8878938372646564
Procambarus_clarkii_alien,random_forest,lowacc,35,30,0.874525394665763,0.8713364120765468,0.877807350224424
Procambarus_clarkii_alien,random_forest,lowacc,50,30,0.8657084304023442,0.8588778003727386,0.8715057880464825
Procambarus_clarkii_alien,random_forest,snapping,0,50,0.8991210885060361,0.8960390988310413,0.902074949000204
Procambarus_clarkii_alien,random_forest,snapping,5,50,0.8991164429688261,0.8962449730479796,0.9019231310391804
Procambarus_clarkii_alien,random_forest,snapping,10,50,0.9015120455059393,0.8994398136056588,0.9035705374081385
Procambarus_clarkii_alien,random_forest,snapping,20,30,0.9005076619962047,0.8960719530512392,0.9047703106330135
Procambarus_clarkii_alien,random_forest,snapping,35,30,0.8965309307079875,0.8930423221748173,0.9000656359342782
Procambarus_clarkii_alien,random_forest,snapping,50,30,0.9030646089571728,0.8994304352780523,0.906212524255398
Procambarus_clarkii_alien,xgboost,lowacc,0,50,0.8961674312646666,0.8931242375850535,0.8994125982743084
Procambarus_clarkii_alien,xgboost,lowacc,5,50,0.8937671680574262,0.8909584811218089,0.896519188608668
Procambarus_clarkii_alien,xgboost,lowacc,10,50,0.8877261815093014,0.8839062918670256,0.8913329727973193
Procambarus_clarkii_alien,xgboost,lowacc,20,30,0.8795090295317068,0.8739501036824457,0.8851584745033285
Procambarus_clarkii_alien,xgboost,lowacc,35,30,0.8710829909794003,0.8675577864121983,0.8743832158756246
Procambarus_clarkii_alien,xgboost,lowacc,50,30,0.8608204377559806,0.8535575404904348,0.8668820668220503
Procambarus_clarkii_alien,xgboost,snapping,0,50,0.8968049500692744,0.8935921584413676,0.8998302524819529
Procambarus_clarkii_alien,xgboost,snapping,5,50,0.8964540821492304,0.8935021934769288,0.8994169328324003
Procambarus_clarkii_alien,xgboost,snapping,10,50,0.8987460259045821,0.8966322819233993,0.9009188971627621
Procambarus_clarkii_alien,xgboost,snapping,20,30,0.8979917994470574,0.8929938754985742,0.9024659997383888
Procambarus_clarkii_alien,xgboost,snapping,35,30,0.894833267873023,0.8910039231069468,0.8982416499028045
Procambarus_clarkii_alien,xgboost,snapping,50,30,0.9008667241881486,0.8973138188458343,0.9040843360619676
Procambarus_clarkii_native,maxent,lowacc,0,50,0.7784754410568272,0.7649654158528761,0.7902902215745233
Procambarus_clarkii_native,maxent,lowacc,5,50,0.7781466855506416,0.7670875517177568,0.7889653635870831
Procambarus_clarkii_native,maxent,lowacc,10,50,0.7761999220235031,0.7620434692594689,0.7889100672526849
