algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
maxent,local_only,lowacc,35,30,0.6314458344457045,0.6216540493811215,0.6418803374036766,0.1892643434417993,0.17576009305398266,0.20415739949386055,0.17125035336205613,0.1617187025238871,0.1814337530847724,0.3762963056426732,0.3657486658555725,0.38630728056229646,0.8129680377991261,0.8008814246377796,0.8245513757766132
maxent,local_only,lowacc,50,30,0.6186894627494475,0.6067303000463744,0.630841154257996,0.15876574703202168,0.14409558316454843,0.1725221123091324,0.16481064115966956,0.1541878808081746,0.17718340003919242,0.3392710771271906,0.3235467273045641,0.35464967693649024,0.819494669904831,0.8040141496009708,0.8331883934167572
maxent,local_only,snapping,0,50,0.6971504166742208,0.6879233311195728,0.7069923665760367,0.2823529760369122,0.26734704365451956,0.29793495557250393,0.17212199144759188,0.1632305320033662,0.18177456760552727,0.4919012715165914,0.4823472652065502,0.5015563749408077,0.7904517045203208,0.7757682420815006,0.8053485191531469
maxent,local_only,snapping,5,48,0.6998973773158147,0.6899538554542075,0.7101552144878097,0.2784141580036708,0.26261240011959797,0.2947782645347917,0.17400481258952824,0.16554432989429782,0.1826380319685608,0.4900952592663044,0.48010832546191123,0.5001746470371101,0.7883188987373663,0.7743741000993567,0.8013469437657743
maxent,local_only,snapping,10,50,0.7012399580996551,0.6922215440189441,0.7106082720429914,0.28410608182119224,0.2709041726259958,0.29737855997756757,0.17259836888394148,0.1643512482420159,0.18102553656757295,0.48778098393245245,0.4776023760936536,0.49713822136754615,0.7963250978887401,0.783620805740816,0.8096130172420996
maxent,local_only,snapping,20,30,0.6976384134375103,0.6838435695996483,0.7113932114699376,0.28212478000781016,0.2600056125623354,0.3052001825460224,0.17077221453625582,0.15908809700370696,0.18235115352240935,0.49213135426143517,0.47805385846838555,0.5069164132215277,0.7899934257463749,0.7703663029860306,0.8092634616478407
maxent,local_only,snapping,35,29,0.7081382771731757,0.6897370083213359,0.7248455061594875,0.3024953319553141,0.27995746923314074,0.32342400025071144,0.15833545231146198,0.14577969105052727,0.17014169474012575,0.4966336215674445,0.48744248828494185,0.5068226073423807,0.8058617103878696,0.7837733593776745,0.8254488831108177
maxent,local_only,snapping,50,30,0.7272822875731528,0.7165532291240102,0.7372949618463474,0.3384088081122495,0.32525822349879074,0.3500294439939014,0.14930377422226856,0.14238573033201102,0.15585128239505464,0.5176054423088674,0.509107674398015,0.5259108308662391,0.820803365803382,0.8086448593830967,0.8331952274008525
maxent,upstream_only,lowacc,0,50,0.6383716028777688,0.6264553185679083,0.650463737587643,0.19920221391831786,0.18655109933199396,0.2122006646393684,0.1367481350281759,0.12990641236006673,0.14424091627494973,0.34815485426478276,0.3380298245642306,0.35967674543773476,0.851047359653535,0.8389279798218726,0.8637521714604507
maxent,upstream_only,lowacc,5,50,0.6300216982306694,0.6157968131863522,0.6449268061200328,0.1842523369377242,0.17067442920628595,0.19846686868100544,0.13942669902069826,0.13197268199493323,0.14701835290412268,0.33901799177085123,0.32975239178434024,0.34791752904239137,0.845234345166873,0.8319536414208133,0.8588882440593502
