entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Pacifastacus_leniusculus_alien,random_forest,snapping,50,30,0.8610400793210503,0.8501123290243904,0.8697479975155443
Pacifastacus_leniusculus_alien,xgboost,lowacc,0,50,0.8543353790376423,0.8495084479742135,0.8589818435817106
Pacifastacus_leniusculus_alien,xgboost,lowacc,5,50,0.8305181605856953,0.8247071392183213,0.836522669713834
Pacifastacus_leniusculus_alien,xgboost,lowacc,10,50,0.8184735306113637,0.8143415351050804,0.822926852611694
Pacifastacus_leniusculus_alien,xgboost,lowacc,20,30,0.7954200037694529,0.788126498268696,0.8020537056360451
Pacifastacus_leniusculus_alien,xgboost,lowacc,35,30,0.7781330003843884,0.7711813646935306,0.7851563726991149
Pacifastacus_leniusculus_alien,xgboost,lowacc,50,30,0.7604880353914709,0.7514818843095595,0.7692953475262739
Pacifastacus_leniusculus_alien,xgboost,snapping,0,50,0.8552200981609771,0.8501752227751512,0.8604092907348994
Pacifastacus_leniusculus_alien,xgboost,snapping,5,50,0.8570326479584648,0.8521892894941574,0.8619491100288184
Pacifastacus_leniusculus_alien,xgboost,snapping,10,50,0.85328889419217,0.8491916017145,0.85739667858615
Pacifastacus_leniusculus_alien,xgboost,snapping,20,30,0.8617902695763358,0.8571817887686337,0.86644154613328
Pacifastacus_leniusculus_alien,xgboost,snapping,35,30,0.8635602626329628,0.8573206228009321,0.8688569547692951
Pacifastacus_leniusculus_alien,xgboost,snapping,50,30,0.8634735100749592,0.8512627849860135,0.873668388057421
Pontastacus_leptodactylus_pooled,maxent,lowacc,0,50,0.7376085471949234,0.7308123620338708,0.7443605150412914
Pontastacus_leptodactylus_pooled,maxent,lowacc,5,50,0.7332773248671599,0.7256630444215058,0.7407130147381118
Pontastacus_leptodactylus_pooled,maxent,lowacc,10,50,0.7304431035422624,0.7243708332527815,0.7369044816433792
Pontastacus_leptodactylus_pooled,maxent,lowacc,20,30,0.7142532178219759,0.7052251197920072,0.7240980349360308
Pontastacus_leptodactylus_pooled,maxent,lowacc,35,30,0.6931160823566975,0.6855413998204828,0.7004279393191372
Pontastacus_leptodactylus_pooled,maxent,lowacc,50,30,0.6817892490789409,0.6737750663684018,0.6898779888486545
Pontastacus_leptodactylus_pooled,maxent,snapping,0,50,0.7385756154984695,0.7312137109451237,0.7457694849110006
Pontastacus_leptodactylus_pooled,maxent,snapping,5,50,0.7359218397354123,0.7292796436911543,0.7426795375081142
Pontastacus_leptodactylus_pooled,maxent,snapping,10,50,0.7484854288948314,0.7413375299023975,0.755426273741514
Pontastacus_leptodactylus_pooled,maxent,snapping,20,30,0.7474553010631981,0.7370115586034355,0.7575993890725607
Pontastacus_leptodactylus_pooled,maxent,snapping,35,30,0.7574401712791351,0.7497916678200907,0.7651924891050015
Pontastacus_leptodactylus_pooled,maxent,snapping,50,30,0.7621826937117412,0.7519973352464708,0.7715042370121546
Pontastacus_leptodactylus_pooled,random_forest,lowacc,0,50,0.802513676447472,0.7958972022902575,0.8089484141691545
Pontastacus_leptodactylus_pooled,random_forest,lowacc,5,50,0.7910372321808768,0.7839271367541673,0.7979766159990119
Pontastacus_leptodactylus_pooled,random_forest,lowacc,10,50,0.794165369575374,0.7883277548919541,0.7999854631261892
Pontastacus_leptodactylus_pooled,random_forest,lowacc,20,30,0.7659460036230529,0.755981554505609,0.774796765406304
Pontastacus_leptodactylus_pooled,random_forest,lowacc,35,30,0.7469714514278046,0.7400633319554647,0.7536348035800753
Pontastacus_leptodactylus_pooled,random_forest,lowacc,50,30,0.7302788448864393,0.7218226044572059,0.7384413639853589
Pontastacus_leptodactylus_pooled,random_forest,snapping,0,50,0.8003797861806525,0.7929722586117695,0.8071649042517366
Pontastacus_leptodactylus_pooled,random_forest,snapping,5,50,0.8017240882067606,0.7934854965127136,0.80865732522924
Pontastacus_leptodactylus_pooled,random_forest,snapping,10,50,0.8069957397571993,0.8000937223173922,0.8138075591254105
Pontastacus_leptodactylus_pooled,random_forest,snapping,20,30,0.806690902996081,0.7949138874215452,0.8183137058511092
Pontastacus_leptodactylus_pooled,random_forest,snapping,35,30,0.8086412148286297,0.8001884585168839,0.816730881060666
Pontastacus_leptodactylus_pooled,random_forest,snapping,50,30,0.8118468421115909,0.8014066889098436,0.8220907165284849
Pontastacus_leptodactylus_pooled,xgboost,lowacc,0,50,0.8078994216370541,0.8014590716177326,0.8143363434742266
