Cambarus striatus	Cambarus_striatus	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20		30
Cambarus striatus	Cambarus_striatus	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Cambarus striatus	Cambarus_striatus	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Cambarus striatus	Cambarus_striatus	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
Creaserinus fodiens	Creaserinus_fodiens	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20		30
Creaserinus fodiens	Creaserinus_fodiens	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Creaserinus fodiens	Creaserinus_fodiens	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Creaserinus fodiens	Creaserinus_fodiens	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
Faxonius limosus (native)	Faxonius_limosus_native	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20		30
Faxonius limosus (native)	Faxonius_limosus_native	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Faxonius limosus (native)	Faxonius_limosus_native	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Faxonius limosus (native)	Faxonius_limosus_native	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
